Reporting Area,MMWR Year,MMWR Week,"Pertussis, Current week 2021","Pertussis, Previous 52 weeks Max","Pertussis, Cum 2020","Pertussis, Cum 2019"
SOUTH ATLANTIC,2020,9,13,69,257,221
PENNSYLVANIA,2020,9,13,50,221,64
UTAH,2020,9,,12,18,67
COLORADO,2020,9,18,21,92,80
VERMONT,2020,9,,5,9,5
KENTUCKY,2020,9,,14,28,26
PUERTO RICO,2020,9,,0,,
MAINE,2020,9,1,17,20,99
VIRGINIA,2020,9,1,37,36,19
ARIZONA,2020,9,12,22,139,80
AMERICAN SAMOA,2020,9,,0,,
WISCONSIN,2020,9,,42,43,81
IDAHO,2020,9,,17,16,16
U.S. VIRGIN ISLANDS,2020,9,,0,,
MICHIGAN,2020,9,,21,38,73
GEORGIA,2020,9,,9,30,30
NEW YORK CITY,2020,9,,15,18,40
ARKANSAS,2020,9,3,7,18,12
MISSISSIPPI,2020,9,,3,5,9
SOUTH DAKOTA,2020,9,,8,2,41
WYOMING,2020,9,,7,11,
TOTAL,2020,11,97,466,2640,2959
PACIFIC,2020,7,,86,257,419
MISSOURI,2020,9,,19,31,54
MIDDLE ATLANTIC,2020,9,26,81,320,238
CALIFORNIA,2020,9,,64,152,407
WEST VIRGINIA,2020,9,,5,4,1
FLORIDA,2020,9,10,22,105,54
TOTAL,2020,7,93,452,1477,1935
US RESIDENTS,2020,7,93,452,1477,1935
NEW HAMPSHIRE,2020,7,,5,1,13
NEW YORK,2020,7,8,30,57,65
WEST SOUTH CENTRAL,2020,7,1,97,48,54
NEBRASKA,2020,7,1,11,19,12
EAST SOUTH CENTRAL,2020,7,3,28,72,85
NORTH DAKOTA,2020,7,,7,3,
NEVADA,2020,7,,6,2,11
ILLINOIS,2020,7,,45,93,73
IOWA,2020,7,,17,5,31
TEXAS,2020,7,,92,36,30
ALASKA,2020,7,,4,,3
DISTRICT OF COLUMBIA,2020,7,,4,3,3
WASHINGTON,2020,7,,30,95,61
NEW ENGLAND,2020,7,1,25,31,140
RHODE ISLAND,2020,7,,7,1,
OREGON,2020,7,,20,56,30
DELAWARE,2020,7,1,3,6,
ALABAMA,2020,7,,14,14,32
KANSAS,2020,7,,5,,17
NORTH CAROLINA,2020,7,,20,23,44
GUAM,2020,7,,2,,
NEW JERSEY,2020,7,,11,,38
NEW MEXICO,2020,7,,9,16,26
EAST NORTH CENTRAL,2020,7,29,123,402,400
TENNESSEE,2020,7,3,14,25,22
CONNECTICUT,2020,7,,5,,8
MARYLAND,2020,7,1,6,7,13
SOUTH CAROLINA,2020,7,,11,11,33
OKLAHOMA,2020,7,,10,,
NORTHERN MARIANA ISLANDS,2020,7,,0,,
OHIO,2020,7,29,51,227,167
MINNESOTA,2020,7,,15,,52
LOUISIANA,2020,7,,5,1,14
HAWAII,2020,7,,4,7,3
SOUTH ATLANTIC,2020,7,14,60,157,174
PENNSYLVANIA,2020,7,14,50,172,49
MONTANA,2020,9,,95,17,60
WEST NORTH CENTRAL,2020,9,,46,79,239
UTAH,2020,7,,12,5,57
COLORADO,2020,7,14,21,66,62
VERMONT,2020,7,1,5,9,5
KENTUCKY,2020,7,,14,28,25
PUERTO RICO,2020,7,,0,,
MAINE,2020,7,,17,16,76
VIRGINIA,2020,7,4,26,28,12
ARIZONA,2020,7,6,21,97,57
AMERICAN SAMOA,2020,7,,0,,
WISCONSIN,2020,7,,42,36,63
IDAHO,2020,7,,17,12,15
U.S. VIRGIN ISLANDS,2020,7,,0,,
MICHIGAN,2020,7,,21,28,64
GEORGIA,2020,7,,4,1,25
NEW YORK CITY,2020,7,,15,13,34
ARKANSAS,2020,7,1,7,11,10
MISSISSIPPI,2020,7,,3,5,6
SOUTH DAKOTA,2020,7,,8,,37
WYOMING,2020,7,,7,9,
MISSOURI,2020,7,,19,20,44
MIDDLE ATLANTIC,2020,7,22,81,242,186
CALIFORNIA,2020,7,,64,99,322
WEST VIRGINIA,2020,7,,5,1,1
FLORIDA,2020,7,8,22,77,43
MONTANA,2020,7,2,95,14,56
WEST NORTH CENTRAL,2020,7,1,46,47,193
MASSACHUSETTS,2020,7,,14,4,38
MOUNTAIN,2020,7,22,134,221,284
INDIANA,2020,7,,11,18,33
NON-US RESIDENTS,2020,7,,0,,
US TERRITORIES,2020,7,,2,,
US RESIDENTS,2020,11,97,466,2640,2959
NEW HAMPSHIRE,2020,11,,5,3,18
NEW YORK,2020,11,10,30,101,109
PACIFIC,2020,11,1,86,482,651
WEST SOUTH CENTRAL,2020,11,14,121,166,113
NEBRASKA,2020,11,3,11,30,27
EAST SOUTH CENTRAL,2020,11,,28,122,132
NORTH DAKOTA,2020,11,,7,10,1
NEVADA,2020,11,,6,7,20
ILLINOIS,2020,11,,46,194,114
IOWA,2020,11,,17,7,45
TEXAS,2020,11,14,116,132,74
ALASKA,2020,11,,4,,5
DISTRICT OF COLUMBIA,2020,11,,4,5,5
WASHINGTON,2020,11,1,31,157,95
NEW ENGLAND,2020,11,1,25,56,205
RHODE ISLAND,2020,11,,8,2,
OREGON,2020,11,,20,113,43
DELAWARE,2020,11,,3,11,
ALABAMA,2020,11,,14,41,50
KANSAS,2020,11,,4,,27
NORTH CAROLINA,2020,11,,20,45,68
GUAM,2020,11,,2,,
